岗位名称,所属部门,职级层级,职级,岗位类型,核心技能,加分技能,必备培训,绩效要求,司龄要求,办公方式要求,是否管理岗,适配说明
首席执行官,行政中心,决策层,执行官,高管,"运营管理、跨部门协作、投诉处理","数据分析思维、领导力提升","领导力提升、数据分析思维","绩效4分以上","3年以上","混合办公",是,"适合全局统筹型人才"
首席技术官,研发中心,高管层,副总裁,高管,"Go、Linux、单元测试","高效沟通技巧、技术架构能力","高效沟通技巧","绩效4分以上","3年以上","远程或混合办公",是,"适合技术背景强、能带团队的人"
首席财务官,财务中心,高管层,副总裁,高管,"ERP系统、投融资、财务建模、Excel高级","公文写作、结构化思考、数据分析思维","结构化思考、公文写作","绩效4分以上","5年以上","混合办公",是,"适合财务统筹与风控型人才"
首席运营官,运营中心,高管层,副总裁,高管,"供应链、团队管理、数据分析","协同推进、业务理解","数据分析思维、领导力提升","绩效4分以上","5年以上","混合办公",是,"适合业务推进和流程管理人才"
首席信息官,研发中心,高管层,副总裁,高管,"React、Linux、Docker","敏捷开发Scrum、领导力提升","敏捷开发Scrum","绩效4分以上","5年以上","远程或混合办公",是,"适合技术管理与数字化统筹"
首席产品官,行政中心,高管层,副总裁,高管,"数据分析、Figma、Sketch、需求分析、用户增长","结构化思考、商务礼仪","产品经理进阶、结构化思考","绩效4分以上","5年以上","混合办公",是,"适合产品战略与用户导向人才"
首席营收官,营销中心,高管层,副总裁,高管,"售后服务、客户成功、渠道拓展","短视频运营、增长黑客","增长黑客、客户成功相关培训","绩效4分以上","5年以上","现场或混合办公",是,"适合销售增长与商业化统筹"
工程副总裁,研发中心,总监层,总监,高管,"Java、Redis、Docker、算法、MySQL","团队协作、商务礼仪","领导力提升、项目管理PMP","绩效4分以上","5年以上","混合办公",是,"适合工程统筹与平台化建设"
产品副总裁,行政中心,总监层,总监,高管,"竞品分析、原型设计、需求分析、PRD撰写、数据分析","数据分析思维、压力管理","产品经理进阶、结构化思考","绩效4分以上","5年以上","混合办公",是,"适合产品战略管理"
销售副总裁,行政中心,总监层,总监,高管,"需求挖掘、售后服务、回款管理、商务谈判、客户成功","增长黑客、渠道能力","商务谈判、客户成功培训","绩效4分以上","5年以上","现场办公",是,"适合大客户和销售体系管理"
产品管理总监,研发中心,总监层,总监,总监,"数据分析、需求分析、用户研究、原型设计、竞品分析","结构化思考、数据分析思维","产品经理进阶、PPT商务演示","绩效4分以上","3年以上","现场或混合办公",是,"适合产品规划与项目协同"
信息技术总监,研发中心,总监层,总监,总监,"敏捷开发、Python、React、单元测试、算法","目标管理、压力管理","敏捷开发Scrum、项目管理PMP","绩效4分以上","3年以上","远程或混合办公",是,"适合技术管理与研发治理"
数据科学总监,研发中心,总监层,总监,总监,"Hadoop、模型调优、深度学习、数据分析、SQL","招聘面试技巧、领导力提升","数据分析思维、项目管理PMP","绩效4分以上","3年以上","现场或混合办公",是,"适合算法与数据团队管理"
客户成功总监,研发中心,总监层,总监,总监,"渠道拓展、回款管理、售后服务、招投标、需求挖掘","私域流量运营、问题解决","客户成功、增长黑客相关培训","绩效4分以上","3年以上","现场办公",是,"适合客户运营与续费增长"
财务副总裁,行政中心,总监层,总监,高管,"Excel高级、投融资、风险管理、预算管理、成本控制","数据分析思维、绩效管理","结构化思考、公文写作","绩效4分以上","5年以上","混合办公",是,"适合财务统筹和战略支持"
市场副总裁,行政中心,总监层,总监,高管,"短视频运营、用户增长、直播运营、活动策划、私域运营","数据分析思维、领导力提升","增长黑客、市场策划培训","绩效4分以上","5年以上","混合办公",是,"适合增长和品牌统筹"
研发经理,行政中心,经理层,经理,经理岗,"K8s、Spring Boot、Docker、Java、Redis","敏捷开发Scrum、问题解决","项目管理PMP、领导力提升","绩效3分以上","2年以上","混合办公",是,"适合带研发团队和交付"
产品经理,财务中心,经理层,经理,经理岗,"产品设计、交互设计、数据分析、竞品分析、用户增长","创新思维、结构化思考","产品经理进阶、用户体验设计","绩效3分以上","1年以上","混合办公",否,"适合产品设计与需求管理"
设计经理,行政中心,经理层,经理,经理岗,"需求分析、数据分析、原型设计、Sketch、PRD撰写","用户体验设计、创新思维","用户体验设计、项目管理PMP","绩效3分以上","2年以上","混合办公",是,"适合设计统筹和体验优化"
财务经理,行政中心,经理层,经理,经理岗,"内控审计、投融资、风险管理、财务建模、财务报表","结构化思考、演讲与表达","财务分析、项目管理PMP","绩效3分以上","2年以上","现场或混合办公",是,"适合财务统筹与风控"
人力资源经理,行政中心,经理层,经理,经理岗,"招聘配置、HRBP、薪酬福利、培训发展、组织发展","绩效管理、创新思维","HRBP、人才盘点培训","绩效3分以上","2年以上","混合办公",是,"适合人力资源管理"
技术项目经理,财务中心,经理层,经理,经理岗,"跨部门协作、供应链、目标管理、项目管理、运营管理","团队协作、问题解决","项目管理PMP","绩效3分以上","2年以上","现场或混合办公",是,"适合项目推进与跨部门协调"
销售经理,行政中心,经理层,经理,经理岗,"CRM、业绩目标、大客户管理、需求挖掘、招投标","结构化思考、绩效管理","商务谈判、销售技巧培训","绩效3分以上","2年以上","现场办公",是,"适合销售团队管理"
客户成功经理,财务中心,经理层,经理,经理岗,"售后服务、招投标、关系维护、大客户管理、客户成功","增长黑客、私域流量运营","客户服务技巧、客户成功培训","绩效3分以上","1年以上","现场或混合办公",否,"适合客户维护与续约"
数据科学经理,行政中心,经理层,经理,经理岗,"深度学习、A/B测试、Hadoop、Spark、数据挖掘","绩效管理、招聘面试技巧","数据分析思维、项目管理PMP","绩效3分以上","2年以上","现场或混合办公",是,"适合数据团队管理"
运维工程师,研发中心,员工层,中级,技术岗,"Git、Java、接口测试、数据结构、Vue、单元测试","目标管理、时间管理","运维基础、CI/CD培训","绩效3分以上","1年以上","混合办公",否,"适合日常运维和系统保障"
软件工程师,研发中心,员工层,中级,技术岗,"敏捷开发、单元测试、数据结构、Go、Java","协作能力、创新思维","编码规范、单元测试培训","绩效3分以上","1年以上","混合办公",否,"适合后端或通用研发"
前端开发工程师,研发中心,员工层,中级,技术岗,"React、Vue、Java、Go、Redis","用户体验理解、协作能力","前端框架、工程化培训","绩效3分以上","1年以上","混合办公",否,"适合前端交付"
后端开发工程师,研发中心,员工层,中级,技术岗,"Java、MySQL、Redis、算法、敏捷开发","架构理解、协同能力","后端架构、数据库优化培训","绩效3分以上","1年以上","混合办公",否,"适合服务端开发"
数据工程师,研发中心,员工层,中级,技术岗,"Spark、Hive、PyTorch、Hadoop、特征工程","数据建模、分析能力","数据治理、ETL培训","绩效3分以上","1年以上","混合办公",否,"适合数据管道与数仓"
数据分析师,研发中心,员工层,中级,技术岗,"Python、统计学、A/B测试、机器学习、TensorFlow","业务理解、可视化表达","数据分析思维、BI工具培训","绩效3分以上","1年以上","混合办公",否,"适合分析与洞察支持"
产品设计师,研发中心,员工层,中级,设计岗,"用户研究、交互设计、原型设计、Axure、UI设计","创新思维、项目协同","用户体验设计、Figma培训","绩效3分以上","1年以上","混合办公",否,"适合产品体验设计"
用户体验设计师,研发中心,员工层,中级,设计岗,"交互设计、用户研究、Figma、Axure、需求分析","业务理解、数据分析能力","用户体验设计、原型工具培训","绩效3分以上","1年以上","混合办公",否,"适合体验优化与研究"
测试工程师,研发中心,员工层,中级,技术岗,"Redis、Go、React、Git、K8s","问题解决、质量意识","测试基础、自动化测试培训","绩效3分以上","1年以上","现场或混合办公",否,"适合质量保障"
文档工程师,营销中心,员工层,中级,支撑岗,"Go、Linux、Redis、CI/CD、算法","结构化思考、表达能力","公文写作、文档规范培训","绩效3分以上","1年以上","现场办公",否,"适合技术文档和支持"
